popup_description	source	views	registration	conversion
매주 무료 필기 메시지에 가입하고 컨테스트에 참가하여 $ 50를 받으십시오.	popup_description	21.0	21.0	100.0
Ingrese su correo electrónico para recibir el recurso de construcción mundial número 1 de bookly	popup_description	21.0	21.0	100.0
"
พัฒนาตัวละครของคุณเหมือนนักเขียนที่ขายดีที่สุด"	popup_description	21.0	21.0	100.0
"
Попробуйте bookly Book Editor: бесплатное приложение для письма, которое ежедневно используют тысячи авторов."	popup_description	21.0	21.0	100.0
"
¡Crea personajes fascinantes que a tus lectores les encantarán ... o amarán odiar! Empieza ahora."	popup_description	21.0	21.0	100.0
"
Padroneggia la struttura della storia in tre atti con l'aiuto del nostro modello scaricabile gratuitamente."	popup_description	21.0	21.0	100.0
"
Escreva seu livro da maneira que os leitores o verão. Inscreva-se para acessar o aclamado editor de livros de bookly."	popup_description	21.0	21.0	100.0
"
Enviando uma proposta? Faça o download deste modelo gratuito dos profissionais da bookly."	popup_description	21.0	21.0	100.0
"
Domine a estrutura da história de três atos com a ajuda do nosso modelo para download gratuito."	popup_description	21.0	21.0	100.0
"
Use Amazon's recommendation system to send your book to the top of its category. Get started now."	popup_description	56.0	21.0	37.5
"
Does your website check all the boxes? Enter your email and find out!"	popup_description	112.0	35.0	31.25
"
Download this promotion calendar and maximize your BookBub submissions."	popup_description	126.0	21.0	16.666666666666664
"
Make sure your author site has everything you need to become a bestseller."	popup_description	133.0	21.0	15.789473684210526
"
Submitting a proposal? Download this free template from bookly's professionals."	popup_description	8407.0	1211.0	14.40466278101582
"
Advertise directly to your target readers on the platform where they buy their books. Get started now."	popup_description	434.0	56.0	12.903225806451612
"
Don't let a messy manuscript ruin a great story. Start sending spotless submissions today."	popup_description	231.0	21.0	9.090909090909092
"
Skip the hassle, keep the hustle. Use this simple proposal template and get publishers to start paying attention."	popup_description	2513.0	189.0	7.520891364902507
"
Find out if you've chosen the right title for your book."	popup_description	826.0	56.0	6.779661016949152
Submit a short story based on one of 5 weekly prompts. Winners get $50 and will feature on our Medium page! Sign up to get this week&#39;s prompts.	popup_description	2093.0	133.0	6.354515050167224
"
The simplest way to format your manuscript to industry standards. Give your submission the edge it needs."	popup_description	2366.0	147.0	6.21301775147929
Enroll on this 10-day publishing course.	popup_description	3976.0	238.0	5.985915492957746
Submit a short story based on one of 5 weekly prompts. Winners get $50 and will feature in our newsletter! Sign up to get this week&#39;s prompts.	popup_description	17318.0	994.0	5.739692805173808
Download a copy and write your bio in under 5 minutes	popup_description	19488.0	1113.0	5.711206896551724
